,IS_SUCCESSFUL
0,1
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,1
9,0
10,0
11,0
12,1
13,1
14,1
15,1
16,1
17,0
18,0
19,0
20,1
21,1
22,0
23,0
24,0
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,1
33,1
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,1
49,0
50,1
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,0
68,0
69,1
70,1
71,1
72,1
73,1
74,1
75,0
76,0
77,1
78,1
79,0
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,0
88,0
89,1
90,1
91,0
92,0
93,0
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,0
102,1
103,1
104,1
105,0
106,0
107,1
108,0
109,1
110,0
111,1
112,0
113,0
114,1
115,1
116,1
117,0
118,1
119,1
120,0
121,1
122,0
123,1
124,1
125,1
126,1
127,0
128,1
129,1
130,1
131,0
132,1
133,0
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0
143,1
144,0
145,1
146,0
147,1
148,0
149,1
150,1
151,0
152,0
153,0
154,0
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,0
165,1
166,1
167,1
168,0
169,1
170,0
171,1
172,0
173,0
174,0
175,1
176,1
177,1
178,0
179,0
180,0
181,0
182,0
183,1
184,1
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,0
194,1
195,1
196,1
197,1
198,0
199,1
200,0
201,0
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,0
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,0
233,1
234,1
235,1
236,0
237,1
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,1
275,0
276,0
277,0
278,1
279,1
280,1
281,0
282,1
283,0
284,0
285,0
286,1
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,0
300,1
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,0
330,0
331,1
332,1
333,1
334,1
335,1
336,1
337,0
338,1
339,1
340,1
341,1
342,0
343,0
344,1
345,0
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,0
355,1
356,1
357,1
358,0
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,1
369,1
370,1
371,0
372,0
373,1
374,0
375,1
376,1
377,1
378,1
379,0
380,0
381,1
382,1
383,1
384,1
385,0
386,1
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,1
398,0
399,0
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,1
408,1
409,1
410,1
411,0
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,0
437,1
438,1
439,0
440,1
441,1
442,1
443,0
444,0
445,1
446,1
447,0
448,0
449,1
450,1
451,1
452,0
453,1
454,0
455,1
456,1
457,1
458,1
459,0
460,1
461,0
462,0
463,1
464,1
465,1
466,0
467,1
468,1
469,0
470,1
471,0
472,0
473,1
474,1
475,0
476,0
477,0
478,1
479,1
480,1
481,0
482,1
483,0
484,0
485,1
486,1
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,1
496,1
497,0
498,0
499,0
500,1
501,1
502,1
503,0
504,0
505,0
506,0
507,1
508,0
509,0
510,0
511,1
512,0
513,0
514,0
515,1
516,0
517,1
518,0
519,1
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,1
533,0
534,0
535,1
536,0
537,1
538,1
539,0
540,1
541,1
542,0
543,1
544,1
545,0
546,1
547,1
548,0
549,1
550,0
551,1
552,0
553,0
554,1
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,1
563,0
564,1
565,0
566,1
567,1
568,1
569,0
570,0
571,0
572,1
573,1
574,1
575,0
576,1
577,1
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,0
586,0
587,0
588,1
589,1
590,1
591,0
592,0
593,1
594,1
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,1
603,0
604,0
605,0
606,0
607,1
608,1
609,0
610,1
611,0
612,1
613,1
614,0
615,0
616,0
617,0
618,0
619,1
620,1
621,0
622,1
623,1
624,0
625,0
626,0
627,1
628,0
629,0
630,0
631,1
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,1
640,1
641,0
642,0
643,0
644,0
645,1
646,1
647,0
648,1
649,1
650,0
651,1
652,1
653,1
654,1
655,1
656,1
657,0
658,1
659,1
660,1
661,1
662,0
663,1
664,1
665,1
666,0
667,0
668,1
669,0
670,0
671,0
672,1
673,1
674,0
675,1
676,1
677,1
678,0
679,1
680,0
681,0
682,1
683,1
684,1
685,1
686,1
687,0
688,1
689,1
690,0
691,1
692,0
693,1
694,1
695,0
696,0
697,0
698,1
699,1
700,1
701,1
702,0
703,0
704,0
705,1
706,0
707,1
708,0
709,1
710,1
711,0
712,1
713,1
714,0
715,1
716,0
717,0
718,0
719,0
720,0
721,0
722,1
723,1
724,0
725,1
726,1
727,0
728,1
729,1
730,0
731,0
732,0
733,1
734,0
735,1
736,0
737,1
738,1
739,0
740,1
741,0
742,1
743,0
744,0
745,1
746,1
747,0
748,0
749,0
750,0
751,0
752,0
753,0
754,0
755,0
756,1
757,1
758,1
759,0
760,0
761,1
762,0
763,1
764,1
765,1
766,0
767,0
768,0
769,1
770,0
771,1
772,1
773,1
774,0
775,1
776,1
777,1
778,1
779,1
780,1
781,0
782,1
783,1
784,1
785,0
786,1
787,0
788,0
789,1
790,0
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,1
803,0
804,1
805,1
806,0
807,0
808,0
809,0
